Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4,Z5,S5
C9,A1C3,C,5,4,7,3,5,55,90,,100,,
C9,A1C3,C,6,0,3,0,5,3,5,,100,,
C9,A1C3,C,7,3,5,0,5,4,10,,100,,
C9,A1C3,C,8,3,10,4,7,15,60,,100,,
C9,A1C3,C,9,0,5,0,7,4,25,,100,,
C9,A1C3,C,10,0,3,2,7,3,7,,100,,
C9,A1C3,C,11,0,5,2,5,5,40,,100,,
C9,A1C3,C,12,0,5,0,10,10,30,,100,,
C9,A1C3,C,13,0,3,0,7,3,5,,100,,
C9,A1C3,C,14,0,5,0,10,5,20,,100,,
C9,A1C3,C,15,3,5,2,10,3,7,,100,,
C9,A1C3,A,16,0,5,4,7,7,30,,100,,
C9,A1C3,A,17,3,5,15,40,,100,,,,
C9,A1C3,A,18,4,5,5,15,25,90,,100,,
C9,A1C3,A,19,3,4,3,5,15,70,,100,,
C9,A1C3,A,20,3,5,5,15,5,25,,100,,
C9,A1C3,A,21,2,4,4,7,5,20,,100,,
C9,A1C3,A,22,2,3,3,4,4,3,,100,,
C9,A1C3,A,23,2,5,3,15,,100,,,,
C9,A1C3,A,24,2,4,4,7,12,50,,100,,
C9,A1C3,A,25,3,5,5,10,,100,,,,
C9,A1C3,A,26,2,5,5,10,3,60,,100,,
C9,A1C3,A,27,4,5,2,5,4,70,,100,,
C9,A1C3,A,28,4,5,3,4,4,50,,100,,
C9,A1C3,A,29,2,3,3,5,5,30,,100,,
C9,A1C3,A,30,0,3,3,5,0,2,,100,,
D7,A1,A,1,3,4,4,60,,100,,,,
D7,A1,A,2,2,3,5,12,25,98,,100,,
D7,A1,A,3,5,7,15,60,,100,,,,
D7,A1,A,4,4,5,5,15,,100,,,,
D7,A1,A,5,3,5,7,10,10,40,,100,,
D7,A1,A,6,5,10,15,40,,100,,,,
D7,A1,A,7,5,7,3,15,20,95,,,,
D7,A1,A,8,4,5,4,15,20,80,,100,,
D7,A1,A,9,4,7,3,5,7,70,,100,,
D7,A1,A,10,5,7,7,30,,100,,,,
D7,A1,A,11,3,5,10,40,10,90,,100,,
D7,A1,A,12,3,10,15,70,,100,,,,
D7,A1,A,13,5,7,4,50,,100,,,,
D7,A1,A,14,3,5,5,25,,100,,,,
D7,A1,A,15,4,7,0,15,,100,,,,
D8,C1,C,1,0,5,2,5,7,12,,100,,
D8,C1,C,2,1,5,3,5,0,10,,100,,
D8,C1,C,3,2,3,3,5,12,15,,,,
D8,C1,C,4,0,3,2,5,5,7,,100,,
D8,C1,C,5,3,10,0,7,25,90,,,,
D8,C1,C,6,2,10,2,12,,,,,,
D8,C1,C,7,0,5,2,10,10,25,,,,
D8,C1,C,8,2,5,0,5,20,40,,100,,
D8,C1,C,9,2,3,3,7,40,70,,100,,
D8,C1,C,10,0,5,2,12,3,40,,100,,
D8,C1,C,11,2,3,2,5,15,30,,100,,
D8,C1,C,12,0,7,3,10,25,70,,100,,
D8,C1,C,13,2,3,0,10,5,30,,100,,
D8,C1,C,14,0,3,0,3,1,3,,100,,
D8,C1,C,15,2,15,0,30,15,30,,100,,
D9,A1C1,C,1,0,10,3,15,2,30,,100,,
D9,A1C1,C,2,0,3,0,20,4,5,,100,,
D9,A1C1,C,3,0,3,0,5,0,2,,100,,
D9,A1C1,C,4,0,3,0,5,10,12,25,50,,
D9,A1C1,C,5,0,7,0,10,15,20,15,95,,
D9,A1C1,C,6,0,5,0,10,3,7,,100,,
D9,A1C1,C,7,1,4,3,15,20,30,,,,
D9,A1C1,C,8,0,4,0,7,5,10,,100,,
D9,A1C1,C,9,0,5,0,7,2,5,,,,
D9,A1C1,C,10,1,5,0,4,3,4,30,95,,
D9,A1C1,C,11,1,5,0,10,2,10,,100,,
D9,A1C1,C,12,1,3,2,5,3,4,,100,,
D9,A1C1,C,13,0,3,1,10,0,2,,100,,
D9,A1C1,C,14,0,5,0,10,0,100,,,,
D9,A1C1,C,15,3,5,4,5,4,80,,,,
D9,A1C1,A,16,3,5,2,10,,100,,,,
D9,A1C1,A,17,3,5,7,10,10,25,,100,,
D9,A1C1,A,18,3,5,3,7,4,50,,100,,
D9,A1C1,A,19,3,5,3,7,0,3,,100,,
D9,A1C1,A,20,1,3,3,5,10,30,,100,,
D9,A1C1,A,21,1,3,7,15,2,40,,100,,
D9,A1C1,A,22,1,4,3,5,15,25,,100,,
D9,A1C1,A,23,2,5,3,7,,100,,,,
D9,A1C1,A,24,4,5,2,3,7,15,,100,,
D9,A1C1,A,25,3,5,7,15,,100,,,,
D9,A1C1,A,26,3,10,2,7,6,15,,100,,
D9,A1C1,A,27,4,5,15,25,,100,,,,
D9,A1C1,A,28,3,4,5,7,5,30,,,,
D9,A1C1,A,29,4,5,3,15,25,70,,,,
D9,A1C1,A,30,3,5,7,10,5,20,,100,,
